Species,Order,Spec.syn,gen_spec,Taxa,Mass_g,Tb,Tlc,Tuc,BMR_mlO2_h,CMIN_mlO2_hC,BMR_W,Source,diet,Nocturnal,torpor,Nconstrained,Sconstrained,Tmin,Tmedian.min,T5q.min,T10q.min,Tsd.min,Tmad.min,Tmax,Tmedian.max,T5q.max,T10q.max,Tsd.max,Tmad.max,UpperLat,LowerLat,ShapeName,Area,CollectionLon,CollectionLat,Phase,capture_quality,PostabsorptiveState,
Colius colius,Coliiformes,Colius colius,Colius_colius,Bird,40.2,37,29,35,30.6,3.83,0.177777778,KhaliqHof,FruiNect,0,1,0,1,0.9,4.9,1.1,1.92,2.937960775,2.81694,35.5,32.9,35,34.8,2.589340411,1.77912,-17.11401367,-34.83978272,Colius_colius_22683788,213,22.16,-33.07,rest,trapped,postabsorptive,
Colius striatus,Coliiformes,Colius striatus,Colius_striatus,Bird,51,39,25,38,40.6,2.9,0.236111111,KhaliqHof,FruiNect,0,1,0,1,5.6,12.45,6.9,7.4,5.331867145,6.6717,41.4,37.4,41.1,40.1,1.974556186,2.07564,16.89471436,-34.83978272,Colius_striatus_22683776,458,30,-29.3,rest,captive,postabsorptive,
Urocolius macrourus,Coliiformes,Urocolius macrourus,Urocolius_macrourus,Bird,51.3,40.6,29,33,38.5,3.32,0.238888889,KhaliqHof,FruiNect,0,1,0,0,6.8,13.9,9.3,10.2,3.110513453,2.07564,43.6,40.85,42.4,42,2.437538218,1.40847,20.6071167,-8.775878906,Urocolius_macrourus_22683792,798,NA,NA,NA,captive,NA,
Columba livia,Columbiformes,Columba livia,Columba_livia,Bird,467,41.6,23,36.5,247.6,13.31,1.658333333,KhaliqHof,PlantSeed,0,0,0,0,-38.8,-15.1,-28.7,-27,15.9841511,16.60512,43.4,34.3,41.7,40.7,6.928790414,7.413,65.45892334,-46.62738037,Columba_livia_22690066,2117,-78.56,35.65,rest,trapped,notpostabsorptive,
Columbina inca,Columbiformes,Columbina inca,Columbina_inca,Bird,41.5,40.2,32,35,44.9,5.48,0.261111111,KhaliqHof,PlantSeed,0,0,0,0,-11.3,-1.8,-9.2,-7.9,9.468682288,6.37518,42.6,35.1,37.8,37.5,1.841270009,1.77912,36.85809326,8.709472656,Columbina_inca_22690762,382,-110.55,32.13,rest,trapped,NA,
Geopelia cuneata,Columbiformes,Geopelia cuneata,Geopelia_cuneata,Bird,39,39,34,45,45.9,9.18,0.266666667,KhaliqHof,PlantSeed,0,1,1,0,-0.5,4.7,0.4,1.8,2.018523102,1.4826,38.5,34.3,37.96,37.4,2.026331546,2.37216,-10.69342041,-36.57879639,Geopelia_cuneata_22690705,469,NA,NA,NA,captive,NA,
Geophaps plumifera,Columbiformes,Geophaps plumifera,Geophaps_plumifera,Bird,89,40.5,33,39,72.7,9.69,0.422222222,KhaliqHof,PlantSeed,0,0,1,0,3.6,5.9,3.9,4,2.795288141,1.92738,40,37.7,39.7,39.5,1.31687762,1.63086,-13.85435642,-28.14720968,Geophaps_plumifera_22725173,265,118,-21.4,rest,trapped,NA,
Leucosarcia melanoleuca,Columbiformes,Leucosarcia melanoleuca,Leucosarcia_melanoleuca,Bird,468,40.7,24,36,287.8,17.23,1.672222222,KhaliqHof,Omnivore,0,0,0,1,3.9,6.2,4.14,4.44,1.202143994,1.33434,33.9,30.3,31.4,31.3,1.491445079,0.88956,-20.06359863,-39.13891602,Leucosarcia_melanoleuca_22690727,105,NA,NA,rest,captive,postabsorptive,
Phoeniculus purpureus,Coraciiformes,Phoeniculus purpureus,Phoeniculus_purpureus,Bird,72.19,39.3,23.1,35,113.8,7.02,0.347222222,KhaliqHof,Invertebrate,0,0,0,0,7.7,14.2,9.475,11.75,2.351219283,1.4826,42.2,40.7,42,41.9,2.296989113,1.18608,17.37768555,-34.21447754,Phoeniculus_purpureus_22682667,716,30.23,-29.37,rest,trapped,postabsorptive,
Guira guira,Cuculiformes,Guira guira,Guira_guira,Bird,140,40,27,33,185.9,14.3,NA,KhaliqHof,VertFishScav,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Daptrius ater,Falconiformes,Daptrius ater,Daptrius_ater,Bird,362,39.1,19.5,35,206.5,10.54,1.2,KhaliqHof,VertFishScav,0,0,0,0,-4.7,13.7,4.93,7.53,4.927565753,3.11346,36.1,32.3,34.935,34.3,2.321917895,1.33434,10.26251221,-17.57897949,Daptrius_ater_22696226,414,NA,NA,rest,captive,postabsorptive,
