Species,Order,Spec.syn,gen_spec,Taxa,Mass_g,Tb,Tlc,Tuc,BMR_mlO2_h,CMIN_mlO2_hC,BMR_W,Source,diet,ForStrat,Nocturnal,Climate_McN,Torpor_McN,torpor,Nconstrained,Sconstrained,Tmin,Tmedian.min,T5q.min,T10q.min,Tsd.min,Tmad.min,Tmax,Tmedian.max,T5q.max,T10q.max,Tsd.max,Tmad.max,UpperLat,LowerLat,ShapeName,Area
Columba livia,Columbiformes,Columba livia,Columba_livia,Bird,467,41.6,23,36.5,247.6,13.31,1.658333333,KhaliqHof,PlantSeed,NA,0,T,N,0,0,0,-38.8,-15.1,-28.7,-27,15.9841511,16.60512,43.4,34.3,41.7,40.7,6.928790414,7.413,65.45892334,-46.62738037,Columba_livia_22690066,2117
Columbina inca,Columbiformes,Columbina inca,Columbina_inca,Bird,41.5,40.2,32,35,44.9,5.48,0.261111111,KhaliqHof,PlantSeed,NA,0,T,N,0,0,0,-11.3,-1.8,-9.2,-7.9,9.468682288,6.37518,42.6,35.1,37.8,37.5,1.841270009,1.77912,36.85809326,8.709472656,Columbina_inca_22690762,382
Geophaps plumifera,Columbiformes,Geophaps plumifera,Geophaps_plumifera,Bird,89,40.5,33,39,72.7,9.69,0.422222222,KhaliqHof,PlantSeed,NA,0,TR,N,0,1,0,3.6,5.9,3.9,4,2.795288141,1.92738,40,37.7,39.7,39.5,1.31687762,1.63086,-13.85435642,-28.14720968,Geophaps_plumifera_22725173,265
Leucosarcia melanoleuca,Columbiformes,Leucosarcia melanoleuca,Leucosarcia_melanoleuca,Bird,468,40.7,24,36,287.8,17.23,1.672222222,KhaliqHof,Omnivore,NA,0,T,N,0,0,1,3.9,6.2,4.14,4.44,1.202143994,1.33434,33.9,30.3,31.4,31.3,1.491445079,0.88956,-20.06359863,-39.13891602,Leucosarcia_melanoleuca_22690727,105
Phoeniculus purpureus,Coraciiformes,Phoeniculus purpureus,Phoeniculus_purpureus,Bird,72.19,39.3,23.1,35,113.8,7.02,0.347222222,KhaliqHof,Invertebrate,NA,0,TR,N,0,0,0,7.7,14.2,9.475,11.75,2.351219283,1.4826,42.2,40.7,42,41.9,2.296989113,1.18608,17.37768555,-34.21447754,Phoeniculus_purpureus_22682667,716
Daptrius ater,Falconiformes,Daptrius ater,Daptrius_ater,Bird,362,39.1,19.5,35,206.5,10.54,1.2,KhaliqHof,VertFishScav,NA,0,TR,N,0,0,0,-4.7,13.7,4.93,7.53,4.927565753,3.11346,36.1,32.3,34.935,34.3,2.321917895,1.33434,10.26251221,-17.57897949,Daptrius_ater_22696226,414
Falco rupicoloides,Falconiformes,Falco rupicoloides,Falco_rupicoloides,Bird,214,40,15,33,247.5,9.9,NA,KhaliqHof,Invertebrate,NA,0,NA,NA,NA,0,1,-3.4,8.1,-1.2,-0.3,5.55440214,7.11648,42.2,33.35,41.2,40.85,4.248170948,3.03933,17.13867188,-34.00628662,Falco_rupicoloides_22696398,356
Leipoa ocellata,Galliformes,Leipoa ocellata,Leipoa_ocellata,Bird,1390,39.7,22,37,691.2,39.05,NA,KhaliqHof,PlantSeed,NA,0,NA,NA,NA,0,1,1.1,4.7,3,3.4,1.420285845,1.03782,38.8,33.8,37.7,37.4,2.778123556,3.11346,-25.51629639,-37.03991699,Leipoa_ocellata_22678646,391
Callipepla gambelii,Galliformes,Callipepla gambelii,Callipepla_gambelii,Bird,125.5,40,34,42,130,21.67,0.755555556,KhaliqHof,PlantSeed,NA,0,T,N,0,0,0,-20.4,-10.3,-15.23,-14.82,5.281548183,6.6717,45.4,37.1,40.14,39.5,1.916289912,1.18608,45.43829346,24.57928467,Callipepla_gambelii_22679609,159
Alectoris chukar,Galliformes,Alectoris chukar,Alectoris_chukar,Bird,475,40.7,24,39,337.5,20.21,1.961111111,KhaliqHof,PlantSeed,NA,0,T,N,0,0,0,-36.9,-12.9,-31.4,-28.2,10.10381798,11.56428,46.7,31.9,43.3,41.7,7.056656904,6.37518,54.57312012,-45.57128906,Alectoris_chukar_22678691,1471
